RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,LOC_TOUCHED,LOC_TOUCHED_AVG,LOC_TOUCHED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,67,158,22.571428571428573,61,29,4.142857142857143,17,187,26.714285714285715,61,153,21.857142857142858,61,7,0,1,YES
1,src/java/org/apache/avro/reflect/ReflectRequestor.java,85,174,43.5,77,12,3.0,7,186,46.5,77,162,40.5,77,4,0,1,NO
1,src/java/org/apache/avro/reflect/ReflectResponder.java,124,262,37.42857142857143,118,20,2.857142857142857,13,282,40.285714285714285,118,244,34.857142857142854,118,7,0,1,NO
1,src/java/org/apache/avro/specific/ProtocolTask.java,105,196,65.33333333333333,84,7,2.3333333333333335,7,203,67.66666666666667,84,189,63.0,84,3,0,1,NO
1,src/java/org/apache/avro/specific/SchemaTask.java,28,59,19.666666666666668,28,3,1.0,3,62,20.666666666666668,28,56,18.666666666666668,28,3,0,1,NO
1,src/java/org/apache/avro/specific/SpecificCompiler.java,269,525,47.72727272727273,225,31,2.8181818181818183,12,556,50.54545454545455,225,500,45.45454545454545,225,11,1,1,YES
1,src/java/org/apache/avro/specific/SpecificDatumReader.java,48,303,43.285714285714285,125,130,18.571428571428573,88,433,61.857142857142854,125,379,54.142857142857146,125,7,0,1,YES
1,src/java/org/apache/avro/specific/SpecificDatumWriter.java,36,95,19.0,43,16,3.2,6,111,22.2,43,93,18.6,43,5,0,1,YES
1,src/java/org/apache/avro/specific/SpecificExceptionBase.java,40,40,40.0,40,0,0.0,0,40,40.0,40,40,40.0,40,1,0,1,NO
1,src/java/org/apache/avro/specific/SpecificFixed.java,28,28,28.0,28,0,0.0,0,28,28.0,28,28,28.0,28,1,0,1,NO
1,src/java/org/apache/avro/specific/SpecificRecord.java,28,60,20.0,30,2,0.6666666666666666,2,62,20.666666666666668,30,62,20.666666666666668,30,3,0,1,NO
1,src/java/org/apache/avro/specific/SpecificRecordBase.java,64,64,64.0,64,0,0.0,0,64,64.0,64,64,64.0,64,1,0,1,NO
1,src/java/org/apache/avro/specific/SpecificRequestor.java,56,115,38.333333333333336,53,6,2.0,6,121,40.333333333333336,53,109,36.333333333333336,53,3,0,1,YES
1,src/java/org/apache/avro/specific/SpecificResponder.java,41,96,32.0,46,9,3.0,9,105,35.0,46,97,32.333333333333336,46,3,0,1,YES
1,src/java/org/apache/avro/util/Utf8.java,80,160,80.0,80,0,0.0,0,160,80.0,80,160,80.0,80,2,0,1,NO
1,src/test/java/org/apache/avro/RandomData.java,138,281,40.142857142857146,128,15,2.142857142857143,9,296,42.285714285714285,128,274,39.142857142857146,128,7,0,1,NO
1,src/test/java/org/apache/avro/TestDataFile.java,141,315,39.375,128,46,5.75,18,361,45.125,128,269,33.625,128,8,1,2,YES
1,src/test/java/org/apache/avro/TestFsData.java,141,295,59.0,134,20,4.0,14,315,63.0,134,277,55.4,134,5,0,1,NO
1,src/test/java/org/apache/avro/TestProtocolGeneric.java,192,358,44.75,144,22,2.75,14,380,47.5,144,338,42.25,144,8,0,1,NO
1,src/test/java/org/apache/avro/TestProtocolReflect.java,39,114,22.8,50,25,5.0,22,139,27.8,50,113,22.6,50,5,1,1,YES
1,src/test/java/org/apache/avro/TestProtocolSpecific.java,167,325,29.545454545454547,113,45,4.090909090909091,26,370,33.63636363636363,113,298,27.09090909090909,113,11,1,2,YES
1,src/test/java/org/apache/avro/TestReflect.java,55,141,28.2,63,23,4.6,21,164,32.8,63,136,27.2,63,5,1,1,YES
1,src/test/java/org/apache/avro/TestSchema.java,233,431,28.733333333333334,139,59,3.933333333333333,12,490,32.666666666666664,139,374,24.933333333333334,139,15,3,1,YES
1,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,78,78,78.0,78,0,0.0,0,78,78.0,78,78,78.0,78,1,0,1,NO
1,src/test/java/org/apache/avro/io/TestBlockingIO.java,467,474,158.0,450,7,2.3333333333333335,7,481,160.33333333333334,450,467,155.66666666666666,450,3,0,1,NO
1,src/test/java/org/apache/avro/io/TestParsingTable.java,222,222,111.0,205,0,0.0,0,222,111.0,205,222,111.0,205,2,0,1,NO
1,src/test/java/org/apache/avro/io/TestResolvingIO.java,360,360,180.0,343,0,0.0,0,360,180.0,343,360,180.0,343,2,0,1,NO
1,src/test/java/org/apache/avro/io/TestResolvingTable.java,406,406,203.0,389,0,0.0,0,406,203.0,389,406,203.0,389,2,0,1,NO
1,src/test/java/org/apache/avro/io/TestValidatingIO.java,647,647,323.5,630,0,0.0,0,647,323.5,630,647,323.5,630,2,0,1,NO
1,src/test/java/org/apache/avro/test/TestInvocationReporter.java,35,35,35.0,35,0,0.0,0,35,35.0,35,35,35.0,35,1,0,1,NO
1,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,39,39,39.0,39,0,0.0,0,39,39.0,39,39,39.0,39,1,0,1,NO
1,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,39,39,39.0,39,0,0.0,0,39,39.0,39,39,39.0,39,1,0,1,NO
2,src/java/org/apache/avro/AvroRuntimeException.java,24,1,1.0,1,0,0.0,0,1,1.0,1,1,1.0,1,1,0,1,NO
2,src/java/org/apache/avro/AvroTypeException.java,25,1,1.0,1,0,0.0,0,1,1.0,1,1,1.0,1,1,0,1,NO
2,src/java/org/apache/avro/Protocol.java,341,5,2.5,3,2,1.0,1,7,3.5,4,3,1.5,2,2,1,1,YES
2,src/java/org/apache/avro/Schema.java,728,37,9.25,23,33,8.25,32,70,17.5,44,44,11.0,22,4,1,1,YES
2,src/java/org/apache/avro/SchemaParseException.java,24,1,1.0,1,0,0.0,0,1,1.0,1,1,1.0,1,1,0,1,NO
2,src/java/org/apache/avro/file/DataFileReader.java,218,2,2.0,2,1,1.0,1,3,3.0,3,1,1.0,1,1,0,1,YES
2,src/java/org/apache/avro/file/DataFileWriter.java,206,15,7.5,13,1,0.5,1,16,8.0,13,14,7.0,13,2,1,1,YES
2,src/java/org/apache/avro/file/SeekableFileInput.java,34,4,4.0,4,1,1.0,1,5,5.0,5,3,3.0,3,1,0,1,NO
2,src/java/org/apache/avro/file/SeekableInput.java,36,6,3.0,3,5,2.5,3,11,5.5,6,1,0.5,1,2,1,1,YES
2,src/java/org/apache/avro/generic/GenericArray.java,36,2,1.0,1,1,0.5,1,3,1.5,2,1,0.5,1,2,0,1,NO
2,src/java/org/apache/avro/generic/GenericContainer.java,26,27,27.0,27,0,0.0,0,27,27.0,27,27,27.0,27,1,0,1,NO
2,src/java/org/apache/avro/generic/GenericData.java,428,164,54.666666666666664,155,14,4.666666666666667,10,178,59.333333333333336,165,150,50.0,145,3,0,1,YES
2,src/java/org/apache/avro/generic/GenericDatumReader.java,462,11,2.75,5,10,2.5,5,21,5.25,10,1,0.25,1,4,1,1,YES
2,src/java/org/apache/avro/generic/GenericDatumWriter.java,191,20,6.666666666666667,11,81,27.0,79,101,33.666666666666664,90,75,25.0,68,3,1,1,YES
2,src/java/org/apache/avro/generic/GenericFixed.java,24,1,1.0,1,1,1.0,1,2,2.0,2,0,0.0,0,1,0,1,NO
2,src/java/org/apache/avro/generic/GenericRecord.java,24,3,1.5,2,7,3.5,6,10,5.0,7,6,3.0,5,2,0,1,NO
2,src/java/org/apache/avro/generic/GenericRequestor.java,57,1,1.0,1,0,0.0,0,1,1.0,1,1,1.0,1,1,0,1,NO
2,src/java/org/apache/avro/generic/GenericResponder.java,54,1,1.0,1,0,0.0,0,1,1.0,1,1,1.0,1,1,0,1,NO
2,src/java/org/apache/avro/io/BinaryData.java,192,281,93.66666666666667,190,89,29.666666666666668,88,370,123.33333333333333,190,192,64.0,190,3,0,1,NO
2,src/java/org/apache/avro/io/BinaryDecoder.java,300,3,1.5,2,2,1.0,1,5,2.5,3,1,0.5,1,2,1,1,YES
2,src/java/org/apache/avro/io/BinaryEncoder.java,250,3,3.0,3,2,2.0,2,5,5.0,5,1,1.0,1,1,0,1,NO
