DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,None,1.0,0.29508196721311475,0.9007416081186573,0.2791522044162175,36.0,0.0,105.0,86.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,None,0.7887323943661971,0.45901639344262296,0.6795081967213115,0.30581039755351686,56.0,15.0,90.0,66.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,None,0.9642857142857143,0.22131147540983606,0.6058938329430132,0.19935336909398196,27.0,1.0,104.0,95.0
BOOKKEEPER,1,43.67245657568238,RandomForest,GreedyStepwise,None,None,1.0,0.7377049180327869,0.886455893832943,0.7223666106099985,90.0,0.0,105.0,32.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,GreedyStepwise,None,None,1.0,0.45081967213114754,0.7449648711943794,0.43163047946485306,55.0,0.0,105.0,67.0
BOOKKEEPER,1,43.67245657568238,IBk,GreedyStepwise,None,None,1.0,0.38524590163934425,0.6926229508196722,0.36698271054099274,47.0,0.0,105.0,75.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst,None,None,1.0,0.7377049180327869,0.886455893832943,0.7223666106099985,90.0,0.0,105.0,32.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst,None,None,1.0,0.45081967213114754,0.7449648711943794,0.43163047946485306,55.0,0.0,105.0,67.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst,None,None,1.0,0.38524590163934425,0.6926229508196722,0.36698271054099274,47.0,0.0,105.0,75.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,SensitiveLearning,1.0,0.7377049180327869,0.896135831381733,0.7223666106099985,90.0,0.0,105.0,32.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,SensitiveLearning,0.7808219178082192,0.4672131147540984,0.6795081967213115,0.3049181567308056,57.0,16.0,89.0,65.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,SensitiveLearning,0.9642857142857143,0.22131147540983606,0.6058938329430132,0.19935336909398196,27.0,1.0,104.0,95.0
BOOKKEEPER,1,43.67245657568238,RandomForest,GreedyStepwise,None,SensitiveLearning,1.0,0.7377049180327869,0.8877439500390321,0.7223666106099985,90.0,0.0,105.0,32.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst,None,SensitiveLearning,1.0,0.7377049180327869,0.8877439500390321,0.7223666106099985,90.0,0.0,105.0,32.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,GreedyStepwise,None,SensitiveLearning,0.9833333333333333,0.48360655737704916,0.7449648711943794,0.4553497788108271,59.0,1.0,104.0,63.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst,None,SensitiveLearning,0.9833333333333333,0.48360655737704916,0.7449648711943794,0.4553497788108271,59.0,1.0,104.0,63.0
BOOKKEEPER,1,43.67245657568238,IBk,GreedyStepwise,None,SensitiveLearning,1.0,0.38524590163934425,0.6926229508196722,0.36698271054099274,47.0,0.0,105.0,75.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst,None,SensitiveLearning,1.0,0.38524590163934425,0.6926229508196722,0.36698271054099274,47.0,0.0,105.0,75.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,None,None,0.8785714285714286,0.8913043478260869,0.9505947893105471,0.7918775356560291,123.0,17.0,156.0,15.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,None,None,0.7114093959731543,0.7681159420289855,0.8814191170310799,0.5154052313381672,106.0,43.0,130.0,32.0
BOOKKEEPER,2,56.44257703081232,IBk,None,None,None,0.8407079646017699,0.6884057971014492,0.7921797771634413,0.5952680647707634,95.0,18.0,155.0,43.0
BOOKKEEPER,2,56.44257703081232,RandomForest,GreedyStepwise,None,None,0.8732394366197183,0.8985507246376812,0.9556211778503811,0.7921817574340128,124.0,18.0,155.0,14.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,GreedyStepwise,None,None,0.9915966386554622,0.855072463768116,0.9663231967831113,0.8612875135399188,118.0,1.0,172.0,20.0
BOOKKEEPER,2,56.44257703081232,IBk,GreedyStepwise,None,None,0.8671328671328671,0.8985507246376812,0.9018807070453213,0.785843958015984,124.0,19.0,154.0,14.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst,None,None,0.8732394366197183,0.8985507246376812,0.9556211778503811,0.7921817574340128,124.0,18.0,155.0,14.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst,None,None,0.9915966386554622,0.855072463768116,0.9663231967831113,0.8612875135399188,118.0,1.0,172.0,20.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst,None,None,0.8671328671328671,0.8985507246376812,0.9018807070453213,0.785843958015984,124.0,19.0,154.0,14.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,None,SensitiveLearning,0.7724550898203593,0.9347826086956522,0.9460082097679484,0.700244037487439,129.0,38.0,135.0,9.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,None,SensitiveLearning,0.7151515151515152,0.855072463768116,0.8814191170310799,0.5720740147454461,118.0,47.0,126.0,20.0
BOOKKEEPER,2,56.44257703081232,IBk,None,None,SensitiveLearning,0.8407079646017699,0.6884057971014492,0.7921797771634413,0.5952680647707634,95.0,18.0,155.0,43.0
